source_group,source_column,output_column,aggregation,notes
a1_native,已結清合約的未繳分期期數。,已結清合約的未繳分期期數。__null_rate,null_rate,
a1_native,已結清合約的未繳分期期數。,已結清合約的未繳分期期數。__non_null_count,count_non_null,
a1_native,存續中合約的未繳分期期數。,存續中合約的未繳分期期數。__mean,avg,
a1_native,存續中合約的未繳分期期數。,存續中合約的未繳分期期數。__max,max,
a1_native,存續中合約的未繳分期期數。,存續中合約的未繳分期期數。__min,min,
a1_native,存續中合約的未繳分期期數。,存續中合約的未繳分期期數。__std,stddev_samp,
a1_native,存續中合約的未繳分期期數。,存續中合約的未繳分期期數。__sum,sum,
a1_native,存續中合約的未繳分期期數。,存續中合約的未繳分期期數。__null_rate,null_rate,
a1_native,存續中合約的未繳分期期數。,存續中合約的未繳分期期數。__non_null_count,count_non_null,
a1_native,存續中合約的未繳分期期數。_1,存續中合約的未繳分期期數。_1__mean,avg,
a1_native,存續中合約的未繳分期期數。_1,存續中合約的未繳分期期數。_1__max,max,
a1_native,存續中合約的未繳分期期數。_1,存續中合約的未繳分期期數。_1__min,min,
a1_native,存續中合約的未繳分期期數。_1,存續中合約的未繳分期期數。_1__std,stddev_samp,
a1_native,存續中合約的未繳分期期數。_1,存續中合約的未繳分期期數。_1__sum,sum,
a1_native,存續中合約的未繳分期期數。_1,存續中合約的未繳分期期數。_1__null_rate,null_rate,
a1_native,存續中合約的未繳分期期數。_1,存續中合約的未繳分期期數。_1__non_null_count,count_non_null,
a1_native,已結清合約逾期分期的最大期數。,已結清合約逾期分期的最大期數。__mean,avg,
a1_native,已結清合約逾期分期的最大期數。,已結清合約逾期分期的最大期數。__max,max,
a1_native,已結清合約逾期分期的最大期數。,已結清合約逾期分期的最大期數。__min,min,
a1_native,已結清合約逾期分期的最大期數。,已結清合約逾期分期的最大期數。__std,stddev_samp,
a1_native,已結清合約逾期分期的最大期數。,已結清合約逾期分期的最大期數。__sum,sum,
a1_native,已結清合約逾期分期的最大期數。,已結清合約逾期分期的最大期數。__null_rate,null_rate,
a1_native,已結清合約逾期分期的最大期數。,已結清合約逾期分期的最大期數。__non_null_count,count_non_null,
a1_native,存續合約逾期分期的最大期數。,存續合約逾期分期的最大期數。__mean,avg,
a1_native,存續合約逾期分期的最大期數。,存續合約逾期分期的最大期數。__max,max,
a1_native,存續合約逾期分期的最大期數。,存續合約逾期分期的最大期數。__min,min,
a1_native,存續合約逾期分期的最大期數。,存續合約逾期分期的最大期數。__std,stddev_samp,
a1_native,存續合約逾期分期的最大期數。,存續合約逾期分期的最大期數。__sum,sum,
a1_native,存續合約逾期分期的最大期數。,存續合約逾期分期的最大期數。__null_rate,null_rate,
a1_native,存續合約逾期分期的最大期數。,存續合約逾期分期的最大期數。__non_null_count,count_non_null,
a1_native,已結清合約的逾期分期期數。,已結清合約的逾期分期期數。__mean,avg,
a1_native,已結清合約的逾期分期期數。,已結清合約的逾期分期期數。__max,max,
a1_native,已結清合約的逾期分期期數。,已結清合約的逾期分期期數。__min,min,
a1_native,已結清合約的逾期分期期數。,已結清合約的逾期分期期數。__std,stddev_samp,
a1_native,已結清合約的逾期分期期數。,已結清合約的逾期分期期數。__sum,sum,
a1_native,已結清合約的逾期分期期數。,已結清合約的逾期分期期數。__null_rate,null_rate,
a1_native,已結清合約的逾期分期期數。,已結清合約的逾期分期期數。__non_null_count,count_non_null,
a1_native,聯徵中心已結清授信合約的未償金額。,聯徵中心已結清授信合約的未償金額。__mean,avg,
a1_native,聯徵中心已結清授信合約的未償金額。,聯徵中心已結清授信合約的未償金額。__max,max,
a1_native,聯徵中心已結清授信合約的未償金額。,聯徵中心已結清授信合約的未償金額。__min,min,
a1_native,聯徵中心已結清授信合約的未償金額。,聯徵中心已結清授信合約的未償金額。__std,stddev_samp,
a1_native,聯徵中心已結清授信合約的未償金額。,聯徵中心已結清授信合約的未償金額。__sum,sum,
a1_native,聯徵中心已結清授信合約的未償金額。,聯徵中心已結清授信合約的未償金額。__null_rate,null_rate,
a1_native,聯徵中心已結清授信合約的未償金額。,聯徵中心已結清授信合約的未償金額。__non_null_count,count_non_null,
a1_native,存續中合約的未償金額。,存續中合約的未償金額。__mean,avg,
a1_native,存續中合約的未償金額。,存續中合約的未償金額。__max,max,
a1_native,存續中合約的未償金額。,存續中合約的未償金額。__min,min,
a1_native,存續中合約的未償金額。,存續中合約的未償金額。__std,stddev_samp,
a1_native,存續中合約的未償金額。,存續中合約的未償金額。__sum,sum,
a1_native,存續中合約的未償金額。,存續中合約的未償金額。__null_rate,null_rate,
a1_native,存續中合約的未償金額。,存續中合約的未償金額。__non_null_count,count_non_null,
a1_native,已結清合約的逾期金額。,已結清合約的逾期金額。__mean,avg,
a1_native,已結清合約的逾期金額。,已結清合約的逾期金額。__max,max,
a1_native,已結清合約的逾期金額。,已結清合約的逾期金額。__min,min,
a1_native,已結清合約的逾期金額。,已結清合約的逾期金額。__std,stddev_samp,
a1_native,已結清合約的逾期金額。,已結清合約的逾期金額。__sum,sum,
a1_native,已結清合約的逾期金額。,已結清合約的逾期金額。__null_rate,null_rate,
a1_native,已結清合約的逾期金額。,已結清合約的逾期金額。__non_null_count,count_non_null,
a1_native,存續中合約的逾期金額。,存續中合約的逾期金額。__mean,avg,
a1_native,存續中合約的逾期金額。,存續中合約的逾期金額。__max,max,
a1_native,存續中合約的逾期金額。,存續中合約的逾期金額。__min,min,
a1_native,存續中合約的逾期金額。,存續中合約的逾期金額。__std,stddev_samp,
a1_native,存續中合約的逾期金額。,存續中合約的逾期金額。__sum,sum,
a1_native,存續中合約的逾期金額。,存續中合約的逾期金額。__null_rate,null_rate,
a1_native,存續中合約的逾期金額。,存續中合約的逾期金額。__non_null_count,count_non_null,
a1_native,存續中合約的最大逾期金額。_2,存續中合約的最大逾期金額。_2__mean,avg,
a1_native,存續中合約的最大逾期金額。_2,存續中合約的最大逾期金額。_2__max,max,
a1_native,存續中合約的最大逾期金額。_2,存續中合約的最大逾期金額。_2__min,min,
a1_native,存續中合約的最大逾期金額。_2,存續中合約的最大逾期金額。_2__std,stddev_samp,
a1_native,存續中合約的最大逾期金額。_2,存續中合約的最大逾期金額。_2__sum,sum,
a1_native,存續中合約的最大逾期金額。_2,存續中合約的最大逾期金額。_2__null_rate,null_rate,
a1_native,存續中合約的最大逾期金額。_2,存續中合約的最大逾期金額。_2__non_null_count,count_non_null,
a1_native,已結清合約的最大逾期金額。_1,已結清合約的最大逾期金額。_1__mean,avg,
a1_native,已結清合約的最大逾期金額。_1,已結清合約的最大逾期金額。_1__max,max,
a1_native,已結清合約的最大逾期金額。_1,已結清合約的最大逾期金額。_1__min,min,
a1_native,已結清合約的最大逾期金額。_1,已結清合約的最大逾期金額。_1__std,stddev_samp,
a1_native,已結清合約的最大逾期金額。_1,已結清合約的最大逾期金額。_1__sum,sum,
a1_native,已結清合約的最大逾期金額。_1,已結清合約的最大逾期金額。_1__null_rate,null_rate,
a1_native,已結清合約的最大逾期金額。_1,已結清合約的最大逾期金額。_1__non_null_count,count_non_null,
a1_native,存續中合約的最大逾期金額。,存續中合約的最大逾期金額。__mean,avg,
a1_native,存續中合約的最大逾期金額。,存續中合約的最大逾期金額。__max,max,
a1_native,存續中合約的最大逾期金額。,存續中合約的最大逾期金額。__min,min,
a1_native,存續中合約的最大逾期金額。,存續中合約的最大逾期金額。__std,stddev_samp,
a1_native,存續中合約的最大逾期金額。,存續中合約的最大逾期金額。__sum,sum,
a1_native,存續中合約的最大逾期金額。,存續中合約的最大逾期金額。__null_rate,null_rate,
a1_native,存續中合約的最大逾期金額。,存續中合約的最大逾期金額。__non_null_count,count_non_null,
a1_native,已結清合約的最大逾期金額。,已結清合約的最大逾期金額。__mean,avg,
a1_native,已結清合約的最大逾期金額。,已結清合約的最大逾期金額。__max,max,
a1_native,已結清合約的最大逾期金額。,已結清合約的最大逾期金額。__min,min,
a1_native,已結清合約的最大逾期金額。,已結清合約的最大逾期金額。__std,stddev_samp,
a1_native,已結清合約的最大逾期金額。,已結清合約的最大逾期金額。__sum,sum,
a1_native,已結清合約的最大逾期金額。,已結清合約的最大逾期金額。__null_rate,null_rate,
a1_native,已結清合約的最大逾期金額。,已結清合約的最大逾期金額。__non_null_count,count_non_null,
a1_native,依聯徵中心，已終止合約的展延次數。,依聯徵中心，已終止合約的展延次數。__mean,avg,
a1_native,依聯徵中心，已終止合約的展延次數。,依聯徵中心，已終止合約的展延次數。__max,max,
a1_native,依聯徵中心，已終止合約的展延次數。,依聯徵中心，已終止合約的展延次數。__min,min,
a1_native,依聯徵中心，已終止合約的展延次數。,依聯徵中心，已終止合約的展延次數。__std,stddev_samp,
a1_native,依聯徵中心，已終止合約的展延次數。,依聯徵中心，已終止合約的展延次數。__sum,sum,
a1_native,依聯徵中心，已終止合約的展延次數。,依聯徵中心，已終止合約的展延次數。__null_rate,null_rate,
a1_native,依聯徵中心，已終止合約的展延次數。,依聯徵中心，已終止合約的展延次數。__non_null_count,count_non_null,
a1_native,存續中合約的展延次數。,存續中合約的展延次數。__mean,avg,
a1_native,存續中合約的展延次數。,存續中合約的展延次數。__max,max,
a1_native,存續中合約的展延次數。,存續中合約的展延次數。__min,min,
a1_native,存續中合約的展延次數。,存續中合約的展延次數。__std,stddev_samp,
a1_native,存續中合約的展延次數。,存續中合約的展延次數。__sum,sum,
a1_native,存續中合約的展延次數。,存續中合約的展延次數。__null_rate,null_rate,
a1_native,存續中合約的展延次數。,存續中合約的展延次數。__non_null_count,count_non_null,
a1_native,存續中合約的授信用途。,存續中合約的授信用途。__mode,mode,
a1_native,存續中合約的授信用途。,存續中合約的授信用途。__n_unique,count_distinct,
a1_native,存續中合約的授信用途。,存續中合約的授信用途。__null_rate,null_rate,
a1_native,存續中合約的授信用途。,存續中合約的授信用途。__non_null_count,count_non_null,
a1_native,已結清合約的剩餘金額。,已結清合約的剩餘金額。__mean,avg,
a1_native,已結清合約的剩餘金額。,已結清合約的剩餘金額。__max,max,
a1_native,已結清合約的剩餘金額。,已結清合約的剩餘金額。__min,min,
a1_native,已結清合約的剩餘金額。,已結清合約的剩餘金額。__std,stddev_samp,
a1_native,已結清合約的剩餘金額。,已結清合約的剩餘金額。__sum,sum,
a1_native,已結清合約的剩餘金額。,已結清合約的剩餘金額。__null_rate,null_rate,
a1_native,已結清合約的剩餘金額。,已結清合約的剩餘金額。__non_null_count,count_non_null,
a1_native,存續中合約的剩餘金額。_1,存續中合約的剩餘金額。_1__mean,avg,
a1_native,存續中合約的剩餘金額。_1,存續中合約的剩餘金額。_1__max,max,
a1_native,存續中合約的剩餘金額。_1,存續中合約的剩餘金額。_1__min,min,
a1_native,存續中合約的剩餘金額。_1,存續中合約的剩餘金額。_1__std,stddev_samp,
a1_native,存續中合約的剩餘金額。_1,存續中合約的剩餘金額。_1__sum,sum,
a1_native,存續中合約的剩餘金額。_1,存續中合約的剩餘金額。_1__null_rate,null_rate,
a1_native,存續中合約的剩餘金額。_1,存續中合約的剩餘金額。_1__non_null_count,count_non_null,
a1_native,存續中授信合約的主體角色。,存續中授信合約的主體角色。__mode,mode,
a1_native,存續中授信合約的主體角色。,存續中授信合約的主體角色。__n_unique,count_distinct,
a1_native,存續中授信合約的主體角色。,存續中授信合約的主體角色。__null_rate,null_rate,
a1_native,存續中授信合約的主體角色。,存續中授信合約的主體角色。__non_null_count,count_non_null,
a1_native,已結清授信合約的主體角色。_1,已結清授信合約的主體角色。_1__mode,mode,
a1_native,已結清授信合約的主體角色。_1,已結清授信合約的主體角色。_1__n_unique,count_distinct,
a1_native,已結清授信合約的主體角色。_1,已結清授信合約的主體角色。_1__null_rate,null_rate,
a1_native,已結清授信合約的主體角色。_1,已結清授信合約的主體角色。_1__non_null_count,count_non_null,
a1_native,已結清合約的總金額。,已結清合約的總金額。__mean,avg,
a1_native,已結清合約的總金額。,已結清合約的總金額。__max,max,
a1_native,已結清合約的總金額。,已結清合約的總金額。__min,min,
a1_native,已結清合約的總金額。,已結清合約的總金額。__std,stddev_samp,
a1_native,已結清合約的總金額。,已結清合約的總金額。__sum,sum,
a1_native,已結清合約的總金額。,已結清合約的總金額。__null_rate,null_rate,
a1_native,已結清合約的總金額。,已結清合約的總金額。__non_null_count,count_non_null,
a1_native,聯徵中心存續中合約的總金額。,聯徵中心存續中合約的總金額。__mean,avg,
a1_native,聯徵中心存續中合約的總金額。,聯徵中心存續中合約的總金額。__max,max,
a1_native,聯徵中心存續中合約的總金額。,聯徵中心存續中合約的總金額。__min,min,
a1_native,聯徵中心存續中合約的總金額。,聯徵中心存續中合約的總金額。__std,stddev_samp,
a1_native,聯徵中心存續中合約的總金額。,聯徵中心存續中合約的總金額。__sum,sum,
a1_native,聯徵中心存續中合約的總金額。,聯徵中心存續中合約的總金額。__null_rate,null_rate,
a1_native,聯徵中心存續中合約的總金額。,聯徵中心存續中合約的總金額。__non_null_count,count_non_null,
a1_native,存續中合約逾期債務的總金額。,存續中合約逾期債務的總金額。__mean,avg,
a1_native,存續中合約逾期債務的總金額。,存續中合約逾期債務的總金額。__max,max,
a1_native,存續中合約逾期債務的總金額。,存續中合約逾期債務的總金額。__min,min,
a1_native,存續中合約逾期債務的總金額。,存續中合約逾期債務的總金額。__std,stddev_samp,
a1_native,存續中合約逾期債務的總金額。,存續中合約逾期債務的總金額。__sum,sum,
a1_native,存續中合約逾期債務的總金額。,存續中合約逾期債務的總金額。__null_rate,null_rate,
a1_native,存續中合約逾期債務的總金額。,存續中合約逾期債務的總金額。__non_null_count,count_non_null,
a1_native,已結清授信合約逾期債務的總金額。,已結清授信合約逾期債務的總金額。__mean,avg,
a1_native,已結清授信合約逾期債務的總金額。,已結清授信合約逾期債務的總金額。__max,max,
a1_native,已結清授信合約逾期債務的總金額。,已結清授信合約逾期債務的總金額。__min,min,
a1_native,已結清授信合約逾期債務的總金額。,已結清授信合約逾期債務的總金額。__std,stddev_samp,
a1_native,已結清授信合約逾期債務的總金額。,已結清授信合約逾期債務的總金額。__sum,sum,
a1_native,已結清授信合約逾期債務的總金額。,已結清授信合約逾期債務的總金額。__null_rate,null_rate,
a1_native,已結清授信合約逾期債務的總金額。,已結清授信合約逾期債務的總金額。__non_null_count,count_non_null,
a1_native,聯徵中心存續中合約的未償債務總額。,聯徵中心存續中合約的未償債務總額。__mean,avg,
a1_native,聯徵中心存續中合約的未償債務總額。,聯徵中心存續中合約的未償債務總額。__max,max,
a1_native,聯徵中心存續中合約的未償債務總額。,聯徵中心存續中合約的未償債務總額。__min,min,
a1_native,聯徵中心存續中合約的未償債務總額。,聯徵中心存續中合約的未償債務總額。__std,stddev_samp,
a1_native,聯徵中心存續中合約的未償債務總額。,聯徵中心存續中合約的未償債務總額。__sum,sum,
a1_native,聯徵中心存續中合約的未償債務總額。,聯徵中心存續中合約的未償債務總額。__null_rate,null_rate,
a1_native,聯徵中心存續中合約的未償債務總額。,聯徵中心存續中合約的未償債務總額。__non_null_count,count_non_null,
a1_native,聯徵中心已結清合約的未償債務總額。,聯徵中心已結清合約的未償債務總額。__mean,avg,
a1_native,聯徵中心已結清合約的未償債務總額。,聯徵中心已結清合約的未償債務總額。__max,max,
a1_native,聯徵中心已結清合約的未償債務總額。,聯徵中心已結清合約的未償債務總額。__min,min,
a1_native,聯徵中心已結清合約的未償債務總額。,聯徵中心已結清合約的未償債務總額。__std,stddev_samp,
a1_native,聯徵中心已結清合約的未償債務總額。,聯徵中心已結清合約的未償債務總額。__sum,sum,
a1_native,聯徵中心已結清合約的未償債務總額。,聯徵中心已結清合約的未償債務總額。__null_rate,null_rate,
a1_native,聯徵中心已結清合約的未償債務總額。,聯徵中心已結清合約的未償債務總額。__non_null_count,count_non_null,
a2_aggregated,active_dpd_mean,active_dpd_mean__mean,avg,
a2_aggregated,active_dpd_mean,active_dpd_mean__max,max,
a2_aggregated,active_dpd_max,active_dpd_max__max,max,
a2_aggregated,active_dpd_std,active_dpd_std__mean,avg,
a2_aggregated,active_dpd_std,active_dpd_std__max,max,
a2_aggregated,active_dpd_median,active_dpd_median__mean,avg,
a2_aggregated,active_dpd_median,active_dpd_median__max,max,
a2_aggregated,active_dpd_mode,active_dpd_mode__mean_fallback,avg,fallback: no semantic suffix rule matched
a2_aggregated,active_dpd_mode,active_dpd_mode__max_fallback,max,fallback: no semantic suffix rule matched
a2_aggregated,active_dpd_n_unique,active_dpd_n_unique__max,max,
a2_aggregated,active_dpd_n_unique,active_dpd_n_unique__sum,sum,
a2_aggregated,active_dpd_positive_count,active_dpd_positive_count__sum,sum,
a2_aggregated,active_dpd_positive_count,active_dpd_positive_count__max,max,
a2_aggregated,active_dpd_overdue_rate,active_dpd_overdue_rate__weighted_avg,weighted_avg,weight=active_dpd_non_null_count
a2_aggregated,active_dpd_mean_positive,active_dpd_mean_positive__recomputed,sum_positive_div_positive_count,recomputed from active_dpd_sum_positive and active_dpd_positive_count
a2_aggregated,active_dpd_mean_positive,active_dpd_mean_positive__max,max,
a2_aggregated,active_dpd_sum_positive,active_dpd_sum_positive__sum,sum,
a2_aggregated,active_dpd_sum_positive,active_dpd_sum_positive__max,max,
a2_aggregated,active_dpd_null_count,active_dpd_null_count__sum,sum,
a2_aggregated,active_dpd_null_count,active_dpd_null_count__max,max,
a2_aggregated,active_dpd_null_rate,active_dpd_null_rate__weighted_avg,weighted_avg,weight=active_dpd_non_null_count
a2_aggregated,active_dpd_non_null_count,active_dpd_non_null_count__sum,sum,
a2_aggregated,active_dpd_non_null_count,active_dpd_non_null_count__max,max,
a2_aggregated,closed_dpd_mean,closed_dpd_mean__mean,avg,
a2_aggregated,closed_dpd_mean,closed_dpd_mean__max,max,
a2_aggregated,closed_dpd_max,closed_dpd_max__max,max,
a2_aggregated,closed_dpd_std,closed_dpd_std__mean,avg,
a2_aggregated,closed_dpd_std,closed_dpd_std__max,max,
a2_aggregated,closed_dpd_median,closed_dpd_median__mean,avg,
a2_aggregated,closed_dpd_median,closed_dpd_median__max,max,
a2_aggregated,closed_dpd_mode,closed_dpd_mode__mean_fallback,avg,fallback: no semantic suffix rule matched
a2_aggregated,closed_dpd_mode,closed_dpd_mode__max_fallback,max,fallback: no semantic suffix rule matched
a2_aggregated,closed_dpd_n_unique,closed_dpd_n_unique__max,max,
a2_aggregated,closed_dpd_n_unique,closed_dpd_n_unique__sum,sum,
a2_aggregated,closed_dpd_positive_count,closed_dpd_positive_count__sum,sum,
a2_aggregated,closed_dpd_positive_count,closed_dpd_positive_count__max,max,
a2_aggregated,closed_dpd_overdue_rate,closed_dpd_overdue_rate__weighted_avg,weighted_avg,weight=closed_dpd_non_null_count
a2_aggregated,closed_dpd_mean_positive,closed_dpd_mean_positive__recomputed,sum_positive_div_positive_count,recomputed from closed_dpd_sum_positive and closed_dpd_positive_count
a2_aggregated,closed_dpd_mean_positive,closed_dpd_mean_positive__max,max,
a2_aggregated,closed_dpd_sum_positive,closed_dpd_sum_positive__sum,sum,
a2_aggregated,closed_dpd_sum_positive,closed_dpd_sum_positive__max,max,
a2_aggregated,closed_dpd_null_count,closed_dpd_null_count__sum,sum,
a2_aggregated,closed_dpd_null_count,closed_dpd_null_count__max,max,
a2_aggregated,closed_dpd_null_rate,closed_dpd_null_rate__weighted_avg,weighted_avg,weight=closed_dpd_non_null_count
a2_aggregated,closed_dpd_non_null_count,closed_dpd_non_null_count__sum,sum,
a2_aggregated,closed_dpd_non_null_count,closed_dpd_non_null_count__max,max,
a2_aggregated,active_overdue_mean,active_overdue_mean__mean,avg,
